tool,slug,category,websiteUrl,x_handle,x_handle_status,confidence,source,notes
ChatGPT,chatgpt,AI Agents,https://chat.openai.com,,missing,0,,No local X handle candidate found.
Claude,claude,AI Agents,https://claude.ai,@claudeai,likely_official_account,60,source_metadata,"Profile-shaped X source in data/tool-evidence-sources.json; evidence_url=https://twitter.com/claudeai; lower confidence, not verified official."
Perplexity,perplexity,AI Research,https://www.perplexity.ai,,missing,0,,No local X handle candidate found.
Cursor,cursor,AI Coding,https://cursor.com,@cursor_ai,verified_official_account,100,official_website,evidence_url=https://cursor.com
Windsurf,windsurf,AI Coding,https://windsurf.com,@windsurf,verified_official_account,100,official_website,evidence_url=https://windsurf.com
Lovable,lovable,AI Coding,https://lovable.dev,@Lovable,verified_official_account,100,official_website,evidence_url=https://lovable.dev
Replit,replit,AI Coding,https://replit.com,@replit,verified_official_account,100,official_website,evidence_url=https://replit.com
Runway,runway,AI Video,https://runwayml.com,@runwayml,verified_official_account,100,official_website,evidence_url=https://runwayml.com
Kling,kling,AI Video,https://klingai.com,@theresanaiforit,shared_source_account_excluded,80,taaft,evidence_url=https://theresanaiforthat.com/s/Kling/ Handle is reused across multiple tools and marked excluded by shared-x-handles audit.
Pika,pika,AI Video,https://pika.art,@pika_labs,verified_official_account,100,official_website,evidence_url=https://pika.art
ElevenLabs,elevenlabs,AI Voice,https://elevenlabs.io,@ElevenLabs,likely_official_account,60,source_metadata,"Profile-shaped X source in data/tool-evidence-sources.json; evidence_url=https://x.com/ElevenLabs; lower confidence, not verified official."
Midjourney,midjourney,AI Design,https://www.midjourney.com,,missing,0,,No local X handle candidate found.
Ideogram,ideogram,AI Design,https://ideogram.ai,,missing,0,,No local X handle candidate found.
HeyGen,heygen,AI Video,https://www.heygen.com,@HeyGen,verified_official_account,100,official_website,evidence_url=https://www.heygen.com
Synthesia,synthesia,AI Video,https://www.synthesia.io,@synthesiaio,verified_official_account,100,official_website,evidence_url=https://www.synthesia.io
Granola,granola,AI Workflow,https://www.granola.ai,@meetgranola,verified_official_account,100,official_website,evidence_url=https://www.granola.ai
Notion AI,notion-ai,AI Workflow,https://www.notion.so/product/ai,@NotionHQ,verified_official_account,100,official_website,evidence_url=https://www.notion.so/product/ai
