tool,slug,x_handle,tweets_returned,useful_count,bad_count,proof_quality_score,best_3_tweet_urls,notes
11x,11x,@11x_official,20,19,1,100,https://x.com/LorimerVentures/status/1974162598854566263 | https://x.com/LangChain/status/1934653983710453926 | https://x.com/shcallaway/status/1914122950615375965,hard_reject_crypto_noise:1
Activepieces,activepieces,@activepieces,20,19,1,100,https://x.com/_adarshtwt/status/1977004303907766506 | https://x.com/ThatsEFM/status/1971205763407532437 | https://x.com/akramcodez/status/1997278348314353889,hard_reject_non_english:1
Adapt,adapt,@adapt,16,10,2,100,https://x.com/coresculture/status/2051481279787303033 | https://x.com/gamn4life/status/2038336956929613827 | https://x.com/Ronald_vanLoon/status/2041531621640200620,hard_reject_crypto_noise:1; hard_reject_non_english:1
Adobe Firefly,adobe-firefly,@AdobeFirefly,20,20,0,100,https://x.com/AunySillyMe/status/2061621867287638371 | https://x.com/azed_ai/status/2061811078179504553 | https://x.com/theogsavageaeri/status/2061801394793828752,
Agent A | Ahrefs,agent-a-ahrefs,@ahrefs,20,14,6,100,https://x.com/timsoulo/status/2061796432534003866 | https://x.com/illyism/status/2059313831260967349 | https://x.com/lilyraynyc/status/2064092638341382510,hard_reject_non_english:5; hard_reject_crypto_noise:1
AgentOps,agentops,@AgentOpsAI,20,19,1,100,https://x.com/n_sri_laasya/status/1955451076649554290 | https://x.com/adamsilverman/status/1947683142531170468 | https://x.com/n_sri_laasya/status/1950337080988721459,hard_reject_crypto_noise:1
Amazon Bedrock,amazon-bedrock,@awscloud,20,14,6,100,https://x.com/NBA/status/2062580145475756125 | https://x.com/QuinnyPig/status/2062720143193719218 | https://x.com/TruthNetwork24/status/2062825585718509769,hard_reject_non_english:3; hard_reject_crypto_noise:4
Anthropic Console,anthropic-console,@AnthropicAI,20,16,4,100,https://x.com/zendadddy/status/2062973067354419656 | https://x.com/femisapien_z/status/2062984764441932127 | https://x.com/ilex_ulmus/status/2062976916286501265,hard_reject_crypto_noise:3; hard_reject_non_english:1
Apollo,apollo,@useapolloio,20,10,1,100,https://x.com/riyazmd774/status/2051251563428266141 | https://x.com/orthogonal_sh/status/2034309645473579348 | https://x.com/__brandoncorona/status/2052203121770991733,hard_reject_crypto_noise:1
Arize Phoenix,arize-phoenix,@ArizeAI,20,20,0,100,https://x.com/kleffew94/status/2062955504754958433 | https://x.com/Londonmaxxing/status/2062536130147307543 | https://x.com/chintanturakhia/status/2063114041678299169,
AssemblyAI,assemblyai,@AssemblyAI,20,16,4,100,https://x.com/svpino/status/2057479207429767201 | https://x.com/jasonkneen/status/2053204909445587136 | https://x.com/hermes_f/status/2062515954513318118,hard_reject_crypto_noise:3; hard_reject_non_english:1
Augment Code,augment-code,@augmentcode,20,19,1,100,https://x.com/claudeai/status/2059662933924123044 | https://x.com/mikeysee/status/2048347817391919261 | https://x.com/warpdotdev/status/2047413260820127936,hard_reject_crypto_noise:1
AutoGen,autogen,@MSFTResearch,20,20,0,100,https://x.com/shuhaibmehri/status/2053854963667796064 | https://x.com/TeksEdge/status/2054970084364636356 | https://x.com/SamarthP6/status/2060644384820134399,
