tool,slug,source,websiteUrl,existing_x_handle_if_present,source_confidence,notes
"ChatGPT","chatgpt","missing","https://chat.openai.com","","0","No clear company X account found."
"Claude","claude","source_metadata","https://claude.ai","@claudeai","60","Profile-shaped X source in data/tool-evidence-sources.json; evidence_url=https://twitter.com/claudeai; lower confidence, not verified official."
"Perplexity","perplexity","missing","https://www.perplexity.ai","","0","No clear company X account found."
"Cursor","cursor","official_website","https://cursor.com","@cursor_ai","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://cursor.com"
"Windsurf","windsurf","official_website","https://windsurf.com","@windsurf","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://windsurf.com"
"Lovable","lovable","official_website","https://lovable.dev","@Lovable","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://lovable.dev"
"Replit","replit","official_website","https://replit.com","@replit","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://replit.com"
"Runway","runway","official_website","https://runwayml.com","@runwayml","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://runwayml.com"
"Kling","kling","taaft","https://klingai.com","@theresanaiforit","80","Found in appscreener_company_x_enriched.csv; evidence_url=https://theresanaiforthat.com/s/Kling/"
"Pika","pika","official_website","https://pika.art","@pika_labs","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://pika.art"
"ElevenLabs","elevenlabs","source_metadata","https://elevenlabs.io","@ElevenLabs","60","Profile-shaped X source in data/tool-evidence-sources.json; evidence_url=https://x.com/ElevenLabs; lower confidence, not verified official."
"Midjourney","midjourney","missing","https://www.midjourney.com","","0","No clear company X account found."
"Ideogram","ideogram","missing","https://ideogram.ai","","0","No clear company X account found."
"HeyGen","heygen","official_website","https://www.heygen.com","@HeyGen","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://www.heygen.com"
"Synthesia","synthesia","official_website","https://www.synthesia.io","@synthesiaio","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://www.synthesia.io"
"Granola","granola","official_website","https://www.granola.ai","@meetgranola","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://www.granola.ai"
"Notion AI","notion-ai","official_website","https://www.notion.so/product/ai","@NotionHQ","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://www.notion.so/product/ai"
"Zapier","zapier","official_website","https://zapier.com","@zapier","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://zapier.com"
"Lindy","lindy","official_website","https://www.lindy.ai","@getlindy","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://www.lindy.ai"
"Gamma","gamma","missing","https://gamma.app","","0","No clear company X account found."
"Manus","manus","official_website","https://manus.im","@manusai","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://manus.im"
"V0","v0","official_website","https://v0.dev","@v0","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://v0.dev"
"Bolt","bolt","official_website","https://bolt.new","@boltdotnew","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://bolt.new"
"Linear","linear","official_website","https://linear.app","@linear","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://linear.app"
"CapCut","capcut","missing","https://www.capcut.com","","0","No clear company X account found."
"Descript","descript","missing","https://www.descript.com","","0","No clear company X account found."
"Suno","suno","official_website","https://suno.com","@suno","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://suno.com"
"Udio","udio","missing","https://udio.com","","0","No clear company X account found."
"NotebookLM","notebooklm","missing","https://notebooklm.google","","0","No clear company X account found."
"Grok","grok","taaft","https://x.ai/grok","@theresanaiforit","80","Found in appscreener_company_x_enriched.csv; evidence_url=https://theresanaiforthat.com/s/Grok/"
"Tome","tome","taaft","https://tome.app","@theresanaiforit","80","Found in appscreener_company_x_enriched.csv; evidence_url=https://theresanaiforthat.com/s/Tome/"
"Clay","clay","official_website","https://www.clay.com","@clay","100","Found in appscreener_company_x_enriched.csv; evidence_url=https://www.clay.com"
