tool,category,last_post_date,days_since_last_post,final_status
Magnific,IMAGE,2026-04-28,37,REVIEW
Exa,RESEARCH,2026-04-13,52,REVIEW
Kaedim,3D MODELING,2026-04-09,56,REVIEW
Activepieces,AUTOMATION,2026-03-19,77,REVIEW
Flowise,AGENTS,2026-03-16,80,REVIEW
Polycam,3D MODELING,2026-03-04,92,REVIEW
Rows,AUTOMATION,2026-02-23,101,REVIEW
Option Alpha,TRADING,2025-12-06,180,REVIEW
CSM AI,3D MODELING,2025-10-27,220,REVIEW
Semantic Scholar,RESEARCH,2025-08-26,282,REVIEW
Ready Player Me,GAMING,2025-08-06,302,REVIEW
AgentOps,AGENTS,2025-08-01,307,REVIEW
TradingView,TRADING,2025-06-03,366,REVIEW
Playground AI,IMAGE,2025-05-30,370,REVIEW
Replica Studios,GAMING,2025-05-28,372,REVIEW
Connected Papers,RESEARCH,2025-01-30,490,REVIEW
Hour One,AVATARS,2024-10-01,611,REVIEW
Clipdrop,IMAGE,2024-08-22,651,REVIEW
GGWP,GAMING,2023-11-09,938,REJECT
Explainpaper,RESEARCH,2021-11-03,1674,REJECT
Aider,CODING,,,REJECT
Arkham,TRADING,,,REJECT
Bardeen,AUTOMATION,,,REJECT
Botpress,AGENTS,,,REJECT
Codeium,CODING,,,REJECT
Continue,CODING,,,REJECT
Convai,GAMING,,,REJECT
DeepBrain AI,AVATARS,,,REJECT
Dust,AGENTS,,,REJECT
Freepik AI,IMAGE,,,REJECT
Leonardo AI,IMAGE,,,REJECT
Move AI,3D MODELING,,,REJECT
Mythica,GAMING,,,REJECT
Parabola,AUTOMATION,,,REJECT
Photoroom,IMAGE,,,REJECT
Pipedream,AUTOMATION,,,REVIEW
Relay,AUTOMATION,,,REJECT
Relevance AI,AGENTS,,,REJECT
Remini,IMAGE,,,REVIEW
Research Rabbit,RESEARCH,,,REJECT
Rodin,3D MODELING,,,REJECT
Santiment,TRADING,,,REVIEW
SciSpace,RESEARCH,,,REJECT
Tavus,VIDEO,,,REJECT
