tool,slug,x_handle,tweets_returned,useful_count,bad_count,proof_quality_score,best_3_tweet_urls,notes
Adapt,adapt,@adapt,18,5,5,50,https://x.com/Ronald_vanLoon/status/2041531621640200620 | https://x.com/jaentwistle/status/2017061105127071864 | https://x.com/jaentwistle/status/2044503458854932821,unclear_proof_value:5
Apollo,apollo,@useapolloio,20,6,4,60,https://x.com/riyazmd774/status/2051251563428266141 | https://x.com/orthogonal_sh/status/2034309645473579348 | https://x.com/__brandoncorona/status/2052203121770991733,unclear_proof_value:4
Bolt,bolt,@boltdotnew,20,8,2,80,https://x.com/stitchbygoogle/status/2057158576700080517 | https://x.com/gitlawb/status/2056787857747100139 | https://x.com/levelsio/status/2059670995259015647,unclear_proof_value:2
CatDoes,catdoes,@catdoeshq,20,7,3,70,https://x.com/yeonjidev/status/2012493290277323161 | https://x.com/thisiskp_/status/1962954108173951424 | https://x.com/ayushagarwal/status/2046516198318412114,unclear_proof_value:3
Claude,claude,@claudeai,20,4,6,40,https://x.com/Root_Edge/status/2062407584506695990 | https://x.com/Root_Edge/status/2062350455804690845 | https://x.com/Root_Edge/status/2062406160360038896,unclear_proof_value:6
Cursor,cursor,@cursor_ai,20,5,5,50,https://x.com/ethanolivertroy/status/2062234610369540587 | https://x.com/juliafedorin/status/2062242588313198835 | https://x.com/daniel_adornes/status/2062378776781070545,unclear_proof_value:5
Descript,descript,@descript,20,6,4,60,https://x.com/biscuitweb3/status/2059628891895931144 | https://x.com/jayneil/status/2054950971948847370 | https://x.com/yxgna_12/status/2061226503145156719,unclear_proof_value:4
ElevenLabs,elevenlabs,@ElevenLabs,20,3,7,30,https://x.com/dianakoziarska/status/2062190359283712291 | https://x.com/RobotCleopatra/status/2062191828452159777 | https://x.com/BoBrainerd/status/2062376199154757698,unclear_proof_value:7
Fetcher,fetcher,@fetcherai,20,5,5,50,https://x.com/TheTuringPost/status/1528721333139476481 | https://x.com/Marktechpost/status/1534968628579225600 | https://x.com/miketrap/status/1527279215933943813,unclear_proof_value:5
Floot,floot,@floothq,20,5,5,50,https://x.com/yyjhao/status/2018744704876388731 | https://x.com/yyjhao/status/2031040264870244417 | https://x.com/yyjhao/status/2019456812945420670,unclear_proof_value:3; spam_support_listicle_or_empty:2
Framer,framer,@framer,20,6,4,60,https://x.com/fabiuix/status/2062274438486220879 | https://x.com/kid_withadream_/status/2062280519593684992 | https://x.com/hello_amani/status/2062268727278911590,unclear_proof_value:4
Framer AI,framer-ai,@framer,20,6,4,60,https://x.com/fabiuix/status/2062274438486220879 | https://x.com/kid_withadream_/status/2062280519593684992 | https://x.com/hello_amani/status/2062268727278911590,unclear_proof_value:4
Glean,glean,@glean,20,6,4,60,https://x.com/jainarvind/status/2060077511212445874 | https://x.com/tonygentilcore/status/2057499327224848864 | https://x.com/jainarvind/status/2059777832470139020,unclear_proof_value:4
Granola,granola,@meetgranola,20,4,6,40,https://x.com/soleio/status/2061493565294006499 | https://x.com/nizzyabi/status/2061503419316400524 | https://x.com/lilyyang169/status/2061624413225988401,unclear_proof_value:6
Grok,grok,@theresanaiforit,20,9,1,90,https://x.com/mukutwts/status/2030981087187308922 | https://x.com/VincentBuilds/status/2015731840011649306 | https://x.com/MaxCasu/status/2002811156474347941,spam_support_listicle_or_empty:1
H2O.ai,h2o-ai,@h2oai,20,2,8,20,https://x.com/srisatish/status/1884690803869860150 | https://x.com/pandeyparul/status/1847097989703389694,unclear_proof_value:8
HeyGen,heygen,@HeyGen,20,8,2,80,https://x.com/SiriOnchainX/status/2060226341300298154 | https://x.com/SiriOnchainX/status/2060975172170174834 | https://x.com/SiriOnchainX/status/2060613815201595842,unclear_proof_value:2
HubSpot,hubspot,@HubSpot,19,7,3,70,https://x.com/imsalariasahil/status/2062120164817338494 | https://x.com/dharmesh/status/2059821376504996215 | https://x.com/Techweek_/status/2059795264823791959,unclear_proof_value:3
Inbenta,inbenta,@inbenta,7,1,6,14,https://x.com/ThisWeekInVoice/status/1635411698063659008,unclear_proof_value:6
Instantly,instantly,@InstantlyAI,20,3,7,30,https://x.com/shiri_shh/status/2060380132465123737 | https://x.com/seanlongden/status/2041581790255571436 | https://x.com/heyreach_io/status/2042236227441594381,unclear_proof_value:6; spam_support_listicle_or_empty:1
Jasper,jasper,@heyjasperai,20,6,4,60,https://x.com/stacy_muur/status/2027122001706704918 | https://x.com/stacy_muur/status/2061788423674109981 | https://x.com/ARCreactorAI/status/2053196362469065004,unclear_proof_value:4
Kling,kling,@theresanaiforit,20,9,1,90,https://x.com/mukutwts/status/2030981087187308922 | https://x.com/VincentBuilds/status/2015731840011649306 | https://x.com/MaxCasu/status/2002811156474347941,spam_support_listicle_or_empty:1
Lindy,lindy,@getlindy,20,8,2,80,https://x.com/anujcodes_21/status/2021392103298007212 | https://x.com/chrisbarber/status/2023795071402078387 | https://x.com/thisiskp_/status/2021947558550012016,unclear_proof_value:2
Linear,linear,@linear,20,6,4,60,https://x.com/karrisaarinen/status/2061506694124060673 | https://x.com/karrisaarinen/status/2060624120778563682 | https://x.com/karrisaarinen/status/2062286353963033012,unclear_proof_value:4
Lovable,lovable,@Lovable,20,6,4,60,https://x.com/tan_stack/status/2061494784318144695 | https://x.com/doudou_19X/status/2062132466584875193 | https://x.com/lishali88/status/2061891985179574499,unclear_proof_value:4
Make,make,@make_hq,20,5,5,50,https://x.com/veedstudio/status/2052380394276655235 | https://x.com/Call_Me_Commy/status/2051238173867417976 | https://x.com/sab8a/status/2052462585166061926,unclear_proof_value:4; spam_support_listicle_or_empty:1
Manus,manus,@manusai,20,6,4,60,https://x.com/Sonofpeace0001/status/2060283310568243594 | https://x.com/freeCodeCamp/status/2061538540358369689 | https://x.com/stacy_muur/status/2061927086143766854,unclear_proof_value:4
n8n,n8n,@n8n_io,20,4,6,40,https://x.com/KingDEmark/status/2059387894461051007 | https://x.com/daytonaio/status/2060033443015049605 | https://x.com/WilliamsFord002/status/2061101784358158546,unclear_proof_value:6
Notion AI,notion-ai,@NotionHQ,20,5,5,50,https://x.com/BillSweetman/status/2061978670411952366 | https://x.com/colebemis/status/2061969344683540531 | https://x.com/frank_/status/2061968386020831629,unclear_proof_value:5
Pika,pika,@pika_labs,20,4,6,40,https://x.com/stacy_muur/status/2061788423674109981 | https://x.com/Scobleizer/status/2058248754504106479 | https://x.com/ScorelyGG/status/2056539348946841835,unclear_proof_value:6
PixieBrix,pixiebrix,@pixiebrix,20,4,6,40,https://x.com/charmaine_klee/status/1953474085746274775 | https://x.com/thenewstack/status/1835741442200699291 | https://x.com/britt_joiner/status/1761119368878989814,unclear_proof_value:5; spam_support_listicle_or_empty:1
QuillBot,quillbot,@thequillbot,20,5,5,50,https://x.com/LearnWithBishal/status/1965027981438664906 | https://x.com/Amritanjali16/status/1965285409216495982 | https://x.com/Crypto_bn/status/1913855148981723482,unclear_proof_value:5
remio,remio,@remio_ai,20,3,7,30,https://x.com/wangyuanzju/status/1980180029637357621 | https://x.com/thestartpod/status/2011610312756060213 | https://x.com/zjp1997720/status/1994262369833287704,unclear_proof_value:7
remove.bg,remove-bg,@remove_bg,20,8,2,80,https://x.com/I_Muhammadali44/status/1983414447164272765 | https://x.com/aaroniker/status/1768348479208767491 | https://x.com/charles_irl/status/1793311021060489381,unclear_proof_value:2
