source,tool,slug,in_original_output,original_candidate_count,current_proof_count,broad_discovery_attempted,broad_candidates_found,strict_filter_rejected_count,current_status,root_cause
github,Activepieces,activepieces,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_github_broad_search_found_no_candidate_for_this_tool
github,Adapt,adapt,true,5,3,restored_from_source_ingestion_v1,5,0,has_current_proof,covered_currently
github,Adobe Firefly,adobe-firefly,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_github_broad_search_found_no_candidate_for_this_tool
github,AgentOps,agentops,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_github_broad_search_found_no_candidate_for_this_tool
github,Apollo,apollo,true,5,3,restored_from_source_ingestion_v1,5,0,has_current_proof,covered_currently
github,Arkham,arkham,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_github_broad_search_found_no_candidate_for_this_tool
github,Augment Code,augment-code,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_github_broad_search_found_no_candidate_for_this_tool
github,Bolt,bolt,true,5,3,restored_from_source_ingestion_v1,5,0,has_current_proof,covered_currently
github,Canva AI,canva-ai,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_github_broad_search_found_no_candidate_for_this_tool
github,CapCut,capcut,true,5,3,restored_from_source_ingestion_v1,5,0,has_current_proof,covered_currently
github,CatDoes,catdoes,true,5,3,restored_from_source_ingestion_v1,5,0,has_current_proof,covered_currently
github,Character.AI,character-ai,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_github_broad_search_found_no_candidate_for_this_tool
github,ChatGPT,chatgpt,true,5,3,restored_from_source_ingestion_v1,5,0,has_current_proof,covered_currently
github,Claude,claude,true,5,3,restored_from_source_ingestion_v1,5,0,has_current_proof,covered_currently
github,Cline,cline,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_github_broad_search_found_no_candidate_for_this_tool
github,CodeRabbit,coderabbit,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_github_broad_search_found_no_candidate_for_this_tool
github,Connected Papers,connected-papers,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_github_broad_search_found_no_candidate_for_this_tool
github,Consensus,consensus,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_github_broad_search_found_no_candidate_for_this_tool
github,CrewAI,crewai,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_github_broad_search_found_no_candidate_for_this_tool
github,Cursor,cursor,true,5,3,restored_from_source_ingestion_v1,5,0,has_current_proof,covered_currently
github,DeepBrain AI,deepbrain-ai,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_github_broad_search_found_no_candidate_for_this_tool
github,DefiLlama,defillama,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_github_broad_search_found_no_candidate_for_this_tool
github,Descript,descript,true,5,3,restored_from_source_ingestion_v1,5,0,has_current_proof,covered_currently
github,Dify,dify,false,0,0,restored_from_source_ingestion_v1,0,0,no_historical_candidate,historical_github_broad_search_found_no_candidate_for_this_tool
github,ElevenLabs,elevenlabs,true,5,3,restored_from_source_ingestion_v1,5,0,has_current_proof,covered_currently
