tool,slug,source_url
"Fundraisly","fundraisly","https://fundraisly.com"
"Co-Invest","co-invest","https://coinvest.ai"
"Paste App","paste-app","https://pasteapp.io"
"Rodeo by TwelveLabs","rodeo-by-twelvelabs","https://www.twelvelabs.io"
"Branda","branda","https://branda.co"
"Knock Agent for Slack","knock-agent-for-slack","https://knock.app"
"Mina Meeting Assistant","mina-meeting-assistant","https://getmina.ai"
"Databox MCP","databox-mcp","https://databox.com"
"Dune Keypad","dune-keypad","https://www.projectmirage.ai"
"folk","folk","https://www.folk.app"
"Typeahead","typeahead","https://typeahead.app"
"Tokenwise","tokenwise","https://tokenwise.ai"
"Wingbits AI","wingbits-ai","https://wingbits.com"
"Openstatus Health","openstatus-health","https://www.openstatus.dev"
"Step 3.7 Flash","step-3-7-flash","https://www.stepfun.com"
"Ava Studio","ava-studio","https://avastudio.ai"
"Agent A | Ahrefs","agent-a-ahrefs","https://ahrefs.com"
"MCP Bridge | Appfactor","mcp-bridge-appfactor","https://appfactor.io"
"Integuru","integuru","https://integuru.ai"
"Basedash","basedash","https://www.basedash.com"
"Clipline","clipline","https://clipline.ai"
"Buffer API","buffer-api","https://buffer.com"
"zero.xyz","zero-xyz","https://zero.xyz"
"Coworker AI","coworker-ai","https://coworker.ai"
"Octolane","octolane","https://octolane.com"
"Krater","krater","https://krater.ai"
"DodoForm","dodoform","https://dodoform.com"
"Parsewise API","parsewise-api","https://parsewise.ai"
"Rezonant","rezonant","https://rezonant.ai"
"Willow Scribe","willow-scribe","https://willowvoice.com"
